,1,2,3,4,,,,,,,,,,,,
1,32,1,0,2,35,0.914285714,,,,,,,,,,
2,1,20,1,0,22,0.909090909,,,,,,,,,,
3,0,2,28,3,33,0.848484848,,S2 min,,,,,,,,
4,0,1,0,15,16,0.9375,,,,,,,,,,
,33,24,29,20,106,,,,,,,,,,,
,0.96969697,0.833333333,0.965517241,0.75,,95,,,,,,,,,,
,,,,,,0.896226415,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1,2,3,4,,,,1,2,3,4,,,,,
1,32,0,0,2,,,,32,0,0,2,34,94.12%,,,S2
2,1,21,0,1,,,,1,21,0,1,23,91.30%,,,
3,0,2,29,5,,,,0,2,29,5,36,80.56%,,,
4,0,1,0,12,,,,0,1,0,12,13,92.31%,,,
,,,,,,,,33,24,29,20,106,,,,
,,,,,,,,96.97%,87.50%,100.00%,60.00%,,94,,,
,,,,,,,,,,,,,88.68%,,,
